Logradouro/Nome,Bairro/Distrito,Localidade/UF,CEP
"Rua Emiliano Perneta, 288 Lojas 06 e 07

AGF Emiliano Perneta",Centro,Curitiba/PR,80020-982
"Rua Prefeito João Moreira Garcez, 92 Clique e Retire Correios

AGF Paço da Liberdade Clique e Retire",Centro,Curitiba/PR,80021-959
Avenida João Gualberto - até 1343/1344,Alto da Glória,Curitiba/PR,80030-000
Avenida João Gualberto - de 1345/1346 ao fim,Juvevê,Curitiba/PR,80030-001
Rua Luiz Leão,Centro,Curitiba/PR,80030-010
Praça Gibran Khalil Gibran,Centro Cívico,Curitiba/PR,80030-020
Praça Gibran Khalil Gibran,Centro Cívico,Curitiba/PR,80030-020
Rua Heitor Stockler de Franca,Centro Cívico,Curitiba/PR,80030-030
Rua Heitor Stockler de Franca,Centro Cívico,Curitiba/PR,80030-030
Largo José Knopfholz,Centro Cívico,Curitiba/PR,80030-040
Largo José Knopfholz,Centro Cívico,Curitiba/PR,80030-040
Rua Ary Camargo Queiroz,Centro Cívico,Curitiba/PR,80030-050
Rua Ary Camargo Queiroz,Centro Cívico,Curitiba/PR,80030-050
Rua da Glória - de 1 ao fim - lado ímpar,Centro Cívico,Curitiba/PR,80030-060
Rua da Glória - de 1 ao fim - lado ímpar,Centro Cívico,Curitiba/PR,80030-060
Rua Comendador Fontana,Centro Cívico,Curitiba/PR,80030-070
Rua Comendador Fontana,Centro Cívico,Curitiba/PR,80030-070
Travessa Itália,Alto da Glória,Curitiba/PR,80030-080
Rua da Glória - de 2 ao fim - lado par,Alto da Glória,Curitiba/PR,80030-082
Travessa Rui Leão,Alto da Glória,Curitiba/PR,80030-090
Rua Padre Antônio,Centro,Curitiba/PR,80030-100
Avenida Agostinho Leão Júnior,Centro,Curitiba/PR,80030-110
Rua Gottlieb Müeller,Alto da Glória,Curitiba/PR,80030-120
Rua Carlos Eduardo Leão,Alto da Glória,Curitiba/PR,80030-130
Rua Maria Clara,Alto da Glória,Curitiba/PR,80030-140
Travessa Luthero,Alto da Glória,Curitiba/PR,80030-150
Trincheira da Avenida João Gualberto,Alto da Glória,Curitiba/PR,80030-152
Praça Goethe,Alto da Glória,Curitiba/PR,80030-160
Praça Portugal,Alto da Glória,Curitiba/PR,80030-170
Rua Ivo Leão - até 619/620,Alto da Glória,Curitiba/PR,80030-180
Jardinete Engenheiro Raul Iwersen,Alto da Glória,Curitiba/PR,80030-182
Travessa José do Patrocínio,Alto da Glória,Curitiba/PR,80030-190
Rua Mauá,Alto da Glória,Curitiba/PR,80030-200
Rua Tertuliano Müller,Alto da Glória,Curitiba/PR,80030-210
Rua Amâncio Moro,Alto da Glória,Curitiba/PR,80030-220
Rua Campos Sales - até 414/415,Alto da Glória,Curitiba/PR,80030-230
Praça Else Schiller Otte,Alto da Glória,Curitiba/PR,80030-232
Rua Augusto Severo,Alto da Glória,Curitiba/PR,80030-240
Rua Pedro Rolim de Moura,Alto da Glória,Curitiba/PR,80030-250
Rua Simão Bolivar - até 377/378,Alto da Glória,Curitiba/PR,80030-260
Rua Paraguassu,Alto da Glória,Curitiba/PR,80030-270
Rua Alberto Bolliger,Juvevê,Curitiba/PR,80030-280
Rua Campos Sales - de 981 ao fim - lado ímpar,Ahu,Curitiba/PR,80030-285
Rua Doutor Goulin - até 552/553,Alto da Glória,Curitiba/PR,80030-290
Rua Cândido Mader,Juvevê,Curitiba/PR,80030-300
Rua Barão de Guaraúna,Alto da Glória,Curitiba/PR,80030-310
