Logradouro,Bairro,Cidade,CEP
Rua Dorival Giotto,Efapi,Chapecó/SC,89809-896
Rua Lauri Albino Groders,Efapi,Chapecó/SC,89809-897
Rua Danilo Zonta,Efapi,Chapecó/SC,89809-898
Rua Marilete Aparecida Dalcin Prigol,Efapi,Chapecó/SC,89809-899
"Servidão Anjo da Guarda, 591

Fundação Universitária de Desenvolvimento do Oeste",Efapi,Chapecó/SC,89809-900
"Avenida Senador Attilio Francisco Xavier Fontana - E, 600

BRF S/A",Efapi,Chapecó/SC,89809-901
"Avenida Senador Attilio Francisco Xavier Fontana - E, 2122 Clique e Retire Correios

AC Efapi Clique e Retire",Efapi,Chapecó/SC,89809-959
"Avenida Senador Attilio Francisco Xavier Fontana - E, 2122

AC Efapi",Efapi,Chapecó/SC,89809-970
Avenida Leopoldo Sander - E - até 869 - lado ímpar,Cristo Rei,Chapecó/SC,89810-000
Avenida Leopoldo Sander - E - de 871 a 2599 - lado ímpar,Cristo Rei,Chapecó/SC,89810-002
Rua Faxinal dos Guedes - até 699/700,Cristo Rei,Chapecó/SC,89810-010
Rua Urussanga,Cristo Rei,Chapecó/SC,89810-020
Rua Ilhota,Cristo Rei,Chapecó/SC,89810-030
Rua Ipumirim,Cristo Rei,Chapecó/SC,89810-040
Rua Pomerode - até 749/750,Cristo Rei,Chapecó/SC,89810-050
Rua Pomerode - de 751/752 ao fim,Cristo Rei,Chapecó/SC,89810-052
Rua Benedito Novo - até 671/672,Cristo Rei,Chapecó/SC,89810-060
Rua Benedito Novo - de 673/674 a 1259/1260,Cristo Rei,Chapecó/SC,89810-062
Rua Pouso Redondo,Cristo Rei,Chapecó/SC,89810-070
Acesso Plínio Arlindo de Nes,Cristo Rei,Chapecó/SC,89810-075
Rua Apiuna,Cristo Rei,Chapecó/SC,89810-080
Rua São Francisco do Sul - até 699/700,Cristo Rei,Chapecó/SC,89810-090
Rua São Francisco do Sul - de 701/702 ao fim,Cristo Rei,Chapecó/SC,89810-092
Rua São Lourenço do Oeste,Cristo Rei,Chapecó/SC,89810-095
Rua Camboriú,Cristo Rei,Chapecó/SC,89810-100
Rua Saudades,Cristo Rei,Chapecó/SC,89810-110
Rua Vargeão,Cristo Rei,Chapecó/SC,89810-120
Rua Galvão,Cristo Rei,Chapecó/SC,89810-130
Rua Alberto Alvize Caldart,Cristo Rei,Chapecó/SC,89810-132
Rua Odone Dias de Castro,Cristo Rei,Chapecó/SC,89810-134
Rua Benedito Novo - de 1261/1262 ao fim,Cristo Rei,Chapecó/SC,89810-135
Rua Nilo Peçanha - D - de 1856/1857 ao fim,Cristo Rei,Chapecó/SC,89810-136
Rua Ibirama - até 781/782,Cristo Rei,Chapecó/SC,89810-140
Rua Ibirama - de 783/784 ao fim,Cristo Rei,Chapecó/SC,89810-142
Rua Afonso Pena - D - de 2222 a 2300 - lado par,Cristo Rei,Chapecó/SC,89810-144
Rua Afonso Pena - D - de 2301 ao fim - lado ímpar,Alvorada,Chapecó/SC,89810-146
Rua Porto Belo - até 99998 - lado par,Cristo Rei,Chapecó/SC,89810-148
Rua Imbituba - até 645/646,Cristo Rei,Chapecó/SC,89810-150
Rua Imbituba - de 647/648 ao fim,Cristo Rei,Chapecó/SC,89810-152
Rua Morro da Fumaça - de 52 ao fim - lado par,Cristo Rei,Chapecó/SC,89810-154
Rua Campos Novos - de 272 a 330 - lado par,Cristo Rei,Chapecó/SC,89810-156
Rua Rodeio - até 99998 - lado par,Cristo Rei,Chapecó/SC,89810-158
Rua João Cruz e Souza - até 950 - lado par,Cristo Rei,Chapecó/SC,89810-160
Rua João Cruz e Souza - de 952 ao fim - lado par,Cristo Rei,Chapecó/SC,89810-162
Rua Campos Novos - de 331/332 ao fim,Cristo Rei,Chapecó/SC,89810-164
Avenida Leopoldo Sander - E - até 870 - lado par,Eldorado,Chapecó/SC,89810-168
Rua Mário Bedin (Vila Caçador),Eldorado,Chapecó/SC,89810-169
Rua Descanso,Eldorado,Chapecó/SC,89810-170
Rua Moizés Missio,Eldorado,Chapecó/SC,89810-171
Rua Luiza Martinelli Trombetta,Eldorado,Chapecó/SC,89810-172
Rua Saturnino Gonçalves,Eldorado,Chapecó/SC,89810-173
Rua Bruna Taiza Palharini,Eldorado,Chapecó/SC,89810-174
Rua Faxinal dos Guedes - de 701/702 ao fim,Eldorado,Chapecó/SC,89810-175
Rua Laguna,Eldorado,Chapecó/SC,89810-180
Rua São Joaquim,Eldorado,Chapecó/SC,89810-185
Rua Ipira,Eldorado,Chapecó/SC,89810-190
Rua Xavantina,Eldorado,Chapecó/SC,89810-200
Rua Nova Erechim,Eldorado,Chapecó/SC,89810-210
Rua Bom Jesus da Serra,Eldorado,Chapecó/SC,89810-220
Rua Herval do Oeste,Eldorado,Chapecó/SC,89810-225
Rua Guaraciaba,Eldorado,Chapecó/SC,89810-230
Rua São José do Cedro,Eldorado,Chapecó/SC,89810-240
Rua Gaspar,Eldorado,Chapecó/SC,89810-250
Rua Rio do Sul,Eldorado,Chapecó/SC,89810-260
Rua Palhoça,Eldorado,Chapecó/SC,89810-270
Rua Águas de Chapecó,Eldorado,Chapecó/SC,89810-280
Rua Caçador,Eldorado,Chapecó/SC,89810-290
Acesso Plínio Arlindo de Nes,Eldorado,Chapecó/SC,89810-300
Avenida Jayme Ernesto Bertaso,Água Santa,Chapecó/SC,89810-315
Rua Domingos Albino Reche,Água Santa,Chapecó/SC,89810-340
Rua Guilherme Gimenez de Souza,Água Santa,Chapecó/SC,89810-350
Rua José Gildeixon Clemente Paiva,Água Santa,Chapecó/SC,89810-351
Rua Cleber Santana Loureiro,Água Santa,Chapecó/SC,89810-353
Rua Tiago da Rocha Vieira Alves,Água Santa,Chapecó/SC,89810-354
Rua Silvana Aparecida Motta Rodrigues,Água Santa,Chapecó/SC,89810-356
Rua Filipe José Machado,Água Santa,Chapecó/SC,89810-360
Rua Dener Assunção Braz,Água Santa,Chapecó/SC,89810-361
Rua Marcos Danilo Padilha,Água Santa,Chapecó/SC,89810-362
Rua Zenaide Generosa Zita Ballista Bertaso,Água Santa,Chapecó/SC,89810-366
Avenida João Roman,Água Santa,Chapecó/SC,89810-368
Rua Josimar Rosado da Silva Tavares,Água Santa,Chapecó/SC,89810-369
Rua Alba Maria Lamaison Salvador,Água Santa,Chapecó/SC,89810-370
Rua Aílton Cesar Junior Alves da Silva,Água Santa,Chapecó/SC,89810-372
Rua William Thiego de Jesus,Água Santa,Chapecó/SC,89810-374
Avenida Bruno Rangel Domingues,Água Santa,Chapecó/SC,89810-375
Rua Ananias Eloi Castro Monteiro,Água Santa,Chapecó/SC,89810-377
Rua Arthur Brasialiano Maia,Água Santa,Chapecó/SC,89810-378
Rua Marcelo Augusto Mathias da Silva,Água Santa,Chapecó/SC,89810-379
Rua João Carlos Menta,Água Santa,Chapecó/SC,89810-380
Rua Leonora Angela Gallina,Água Santa,Chapecó/SC,89810-381
Rua Sérgio Manoel Barbosa Santos,Água Santa,Chapecó/SC,89810-383
Rua Matheus Bitencourt da Silva,Água Santa,Chapecó/SC,89810-385
Rua Lucas Gomes da Silva,Água Santa,Chapecó/SC,89810-386
Rua Everton Kempes dos Santos Gonçalves,Água Santa,Chapecó/SC,89810-388
Rua Francisco Correia Pedroso,Belvedere,Chapecó/SC,89810-400
Rua Jandir Francisco Bertoti,Belvedere,Chapecó/SC,89810-402
Rua Luiza Joana Maggioni Kovaleski,Belvedere,Chapecó/SC,89810-406
Rua Antonio Elias Ventura Filho,Belvedere,Chapecó/SC,89810-407
Rua Auri Antonio da Silva,Belvedere,Chapecó/SC,89810-408
Rua Curitibanos,Belvedere,Chapecó/SC,89810-410
Rua Mário Romanini,Belvedere,Chapecó/SC,89810-413
Servidão Odila Maggioni Tormem,Belvedere,Chapecó/SC,89810-414
Rua Avelino Brisola Pedroso,Belvedere,Chapecó/SC,89810-415
Rua Hilário Corti,Belvedere,Chapecó/SC,89810-422
Rua Soldado-Polícia Militar Guilherme Donatti,Belvedere,Chapecó/SC,89810-423
Rua Sergio Mossi,Belvedere,Chapecó/SC,89810-424
Rua Sargento Polícia Militar Márcio Antônio Fabris,Belvedere,Chapecó/SC,89810-426
Avenida Ligia Sperandio,Belvedere,Chapecó/SC,89810-427
Rua Guerino Furlanetto,Belvedere,Chapecó/SC,89810-428
Rua Itapema,Belvedere,Chapecó/SC,89810-430
Rua Joaçaba,Belvedere,Chapecó/SC,89810-440
Rua Itajaí,Belvedere,Chapecó/SC,89810-445
Rua João Batista Dal Piva,Belvedere,Chapecó/SC,89810-450
Acesso Plínio Arlindo de Nes,Belvedere,Chapecó/SC,89810-460
Rua João Francisco Schneider,Belvedere,Chapecó/SC,89810-470
Rua Vista Alegre,Belvedere,Chapecó/SC,89810-473
Rua Bela Vista,Belvedere,Chapecó/SC,89810-474
Rua Joaquina Brizola Pedroso,Belvedere,Chapecó/SC,89810-475
Estrada Municipal Ludovico Júlio Tozzo,Belvedere,Chapecó/SC,89810-477
Rua Mafra,Belvedere,Chapecó/SC,89810-480
Rua João Dariva,Belvedere,Chapecó/SC,89810-482
Rua Herculano de Franco Bueno,Belvedere,Chapecó/SC,89810-483
Rua José Heitor Bavaresco,Belvedere,Chapecó/SC,89810-484
Rua Hilário Dal Santo,Belvedere,Chapecó/SC,89810-485
Rua João Pedro Sotilli,Belvedere,Chapecó/SC,89810-486
Rua Alberto Penz,Belvedere,Chapecó/SC,89810-487
Rua Ana Busnello Paludo,Belvedere,Chapecó/SC,89810-488
Rua Catarina Piazza,Belvedere,Chapecó/SC,89810-489
Rua Ermildo Marin,Belvedere,Chapecó/SC,89810-490
Rua Giusepe Biazio Scussiato,Belvedere,Chapecó/SC,89810-491
Rua Gomercindo Luiz Putti,Belvedere,Chapecó/SC,89810-492
Rua Hermes Franceschina,Belvedere,Chapecó/SC,89810-493
Rua Luciano Tessaro,Belvedere,Chapecó/SC,89810-494
Rua Adilson Rosálio da Silva,Belvedere,Chapecó/SC,89810-495
Rua Jayme Botton,Belvedere,Chapecó/SC,89810-496
Rua Luiz Sassi,Belvedere,Chapecó/SC,89810-498
Rua Videira,Belvedere,Chapecó/SC,89810-500
Rua Raimundo Cora,Belvedere,Chapecó/SC,89810-510
Rua Caibi,Belvedere,Chapecó/SC,89810-520
Rua Tubarão,Belvedere,Chapecó/SC,89810-540
Rua das Nogueiras,Vila Rica,Chapecó/SC,89810-600
Rua da Paz,Vila Rica,Chapecó/SC,89810-601
Rua Flores,Vila Rica,Chapecó/SC,89810-603
Rua Primavera,Vila Rica,Chapecó/SC,89810-605
Rua da Esperança,Vila Rica,Chapecó/SC,89810-607
Rua Joaquim Maia Moraes,Vila Rica,Chapecó/SC,89810-609
Rua Vila Nova,Vila Rica,Chapecó/SC,89810-610
Rua Maria Jacinto Roque,Vila Rica,Chapecó/SC,89810-612
Rua Ana Salles,Vila Rica,Chapecó/SC,89810-614
Rua Amaral Pedroso,Vila Rica,Chapecó/SC,89810-615
Rua Líbera Tranquila Bonafé,Vila Rica,Chapecó/SC,89810-616
Rua Ipê-Roxo,Vila Rica,Chapecó/SC,89810-618
Rua Boa Vista,Vila Rica,Chapecó/SC,89810-620
Rua Estevão Machado de Jesus,Vila Rica,Chapecó/SC,89810-622
Rua João Fortes,Vila Rica,Chapecó/SC,89810-625
Rua das Laranjeiras,Vila Rica,Chapecó/SC,89810-627
Rua Francisco Sulsinski,Vila Rica,Chapecó/SC,89810-630
Rua Pedro dos Santos,Vila Rica,Chapecó/SC,89810-635
Rua dos Antunes,Vila Rica,Chapecó/SC,89810-637
Rua das Limeiras,Vila Rica,Chapecó/SC,89810-640
Rua Asildo Adolfo Laux,Trevo,Chapecó/SC,89810-700
Acesso Plínio Arlindo de Nes,Trevo,Chapecó/SC,89810-740
Rua Alécio Alexandre Cella,Trevo,Chapecó/SC,89810-746
Avenida Pedro Giordano Cella,Trevo,Chapecó/SC,89810-750
Rua Maria Favaretto,Trevo,Chapecó/SC,89810-752
Rua José Gomes,Trevo,Chapecó/SC,89810-754
Rua Jair Tecchio,Trevo,Chapecó/SC,89810-756
Rua Augusta Debortolli Cella,Trevo,Chapecó/SC,89810-758
Rua Apolinário Resende,Trevo,Chapecó/SC,89810-759
Rua Pedro Folle,Trevo,Chapecó/SC,89810-760
Rua Jacinto Rosalen,Trevo,Chapecó/SC,89810-762
Rua Teodolinda Toniazzo,Trevo,Chapecó/SC,89810-764
Rua Hilário Néspolo,Trevo,Chapecó/SC,89810-766
Rodovia BR-282,Trevo,Chapecó/SC,89810-800
Rodovia SC-468,Trevo,Chapecó/SC,89810-805
Rua Giacondo José Cella,Trevo,Chapecó/SC,89810-810
Rua Sérgio Cella,Trevo,Chapecó/SC,89810-812
Rua Luiz Cella,Trevo,Chapecó/SC,89810-814
Rua Antônio Onghero,Trevo,Chapecó/SC,89810-818
Rua Antônio Cella,Trevo,Chapecó/SC,89810-820
Rua Jacinto Cella,Trevo,Chapecó/SC,89810-822
Rua Elza Lúcia Cella,Trevo,Chapecó/SC,89810-824
Rua Lúcio Pedroso,Trevo,Chapecó/SC,89810-826
Rua Valdemiro Belinski,Trevo,Chapecó/SC,89810-829
Rua Ângelo Rosali Remus (Loteamento Eduarda),Trevo,Chapecó/SC,89810-831
Rua Ângela Cella,Trevo,Chapecó/SC,89810-833
Rua Elpídio Vivian,Trevo,Chapecó/SC,89810-835
Rua Juviniano Vivian,Trevo,Chapecó/SC,89810-837
Servidão Adanair Terezinha da Silva,Trevo,Chapecó/SC,89810-838
Rua Sebastião da Silva Neres,Trevo,Chapecó/SC,89810-839
Rua Nacibe Mustafá Monauar (Loteamento Eduarda),Trevo,Chapecó/SC,89810-849
Rua Maria Thereza Cella Cararo,Trevo,Chapecó/SC,89810-850
Rua Celso Bolis (Loteamento Eduarda),Trevo,Chapecó/SC,89810-851
Rua Antonio Edilio Marafon,Trevo,Chapecó/SC,89810-852
Rua Iraídes Maria Bolzani Bervian (Loteamento Eduarda),Trevo,Chapecó/SC,89810-853
Rua Severino Antonio Nissola Cella,Trevo,Chapecó/SC,89810-854
Rua Orlando João Corrêa (Loteamento Eduarda),Trevo,Chapecó/SC,89810-855
Rua Obeni Xavier de Almeida,Trevo,Chapecó/SC,89810-856
Rua Ângelo Santos Ceccon,Trevo,Chapecó/SC,89810-858
Rua Tranquilo de Albuquerque,Trevo,Chapecó/SC,89810-859
"Acesso Plínio Arlindo de Nes, 1304 Galpão D

CLI Chapecó",Belvedere,Chapecó/SC,89810-970
Rua Humaitá - lado ímpar,Dom Gerônimo,Chapecó/SC,89811-002
Rua Jordão,Dom Gerônimo,Chapecó/SC,89811-004
Acesso Plínio Arlindo de Nes,Dom Gerônimo,Chapecó/SC,89811-005
Rua Concórdia - E - até 99998/99999,Dom Gerônimo,Chapecó/SC,89811-010
Avenida Getúlio Dorneles Vargas - N - de 4851/4852 ao fim,Dom Gerônimo,Chapecó/SC,89811-012
Rua Juacir Pereira de Souza - E,Dom Gerônimo,Chapecó/SC,89811-014
Rua Juacir Pereira de Souza - D,Dom Gerônimo,Chapecó/SC,89811-016
Rua Dante Amadeu Bertollo - E,Dom Gerônimo,Chapecó/SC,89811-018
Rua Dante Amadeu Bertollo - D,Dom Gerônimo,Chapecó/SC,89811-020
Rua Pedro Veiga da Silva - E,Dom Gerônimo,Chapecó/SC,89811-022
Rua Pedro Veiga da Silva - D,Dom Gerônimo,Chapecó/SC,89811-024
Rua Maria Lucia Pompermayer - até 99998/99999,Dom Gerônimo,Chapecó/SC,89811-026
Rua Jacomo Fontanela,Dom Gerônimo,Chapecó/SC,89811-028
Rua Denilde Maria Copetti (Loteamento Dom Gerônimo),Dom Gerônimo,Chapecó/SC,89811-048
Rua Vilson Antonio Vivian - D,Bom Retiro,Chapecó/SC,89811-160
Rua Dourados,Bom Retiro,Chapecó/SC,89811-161
Avenida Getúlio Dorneles Vargas - N - de 4136 a 4334 - lado par,Bom Retiro,Chapecó/SC,89811-162
Avenida Getúlio Dorneles Vargas - N - de 4335/4336 a 4849/4850,Bom Retiro,Chapecó/SC,89811-164
Rua Concórdia - D,Bom Retiro,Chapecó/SC,89811-166
Rua Francismar Severino Tozzo - D - até 499/500,Bom Retiro,Chapecó/SC,89811-168
Rua Francismar Severino Tozzo - E,Bom Retiro,Chapecó/SC,89811-169
Rua Antão Flores da Cunha,Bom Retiro,Chapecó/SC,89811-170
Rua Marino Finco,Bom Retiro,Chapecó/SC,89811-172
Rua Luiz Francisco Sabadin,Bom Retiro,Chapecó/SC,89811-174
Rua Maria Helena Coutinho,Bom Retiro,Chapecó/SC,89811-176
Rua Maria Lucia Pompermayer - até 99998/99999,Bom Retiro,Chapecó/SC,89811-178
Rua Paulino Giocondo Cella Carraro,Bom Retiro,Chapecó/SC,89811-180
Rua João Pedro Sottili,Bom Retiro,Chapecó/SC,89811-182
Rua Roque Domingos Onghero,Bom Retiro,Chapecó/SC,89811-184
Rua Jandaia,Bom Retiro,Chapecó/SC,89811-185
Rua Eugênio Cerafino Milan,Bom Retiro,Chapecó/SC,89811-186
Rua David Capeleti,Bom Retiro,Chapecó/SC,89811-210
Rua Leonardo Marques,Bom Retiro,Chapecó/SC,89811-211
Rua Ernesto Signori,Bom Retiro,Chapecó/SC,89811-212
Rua Odecyval Fidelis da Rocha,Bom Retiro,Chapecó/SC,89811-213
Rua Olibio Nicknich,Bom Retiro,Chapecó/SC,89811-214
Rua Gelci Cima,Bom Retiro,Chapecó/SC,89811-230
Rua Luiz Curtarelli,Bom Retiro,Chapecó/SC,89811-231
Rua Adelino de Souza Pinto,Bom Retiro,Chapecó/SC,89811-232
Rua Getúlio Hercolino Frutoso,Bom Retiro,Chapecó/SC,89811-236
Rua Jordéa Marubin Zamprogna,Bom Retiro,Chapecó/SC,89811-242
Rua Ivo Giacomazzi,Bom Retiro,Chapecó/SC,89811-243
Rua Alberto Rigoni,Bom Retiro,Chapecó/SC,89811-244
Rua Arlindo Mohr,Bom Retiro,Chapecó/SC,89811-245
Rua Francismar Severino Tozzo - D - de 501/502 ao fim,Bom Retiro,Chapecó/SC,89811-246
Rua Albino Sá Filho - E - de 2001 a 2199 - lado ímpar,Desbravador,Chapecó/SC,89811-300
Rua Albino Sá Filho - E - de 2201/2202 ao fim,Desbravador,Chapecó/SC,89811-302
Rua Giuseppe Campagnollo,Desbravador,Chapecó/SC,89811-352
Rua Marta Fabiana Dassi,Desbravador,Chapecó/SC,89811-354
Rua Juliana Coelho Pereira,Desbravador,Chapecó/SC,89811-358
Rua Wilmo Meneghin,Desbravador,Chapecó/SC,89811-359
Rua Silvio Vicente Soprana Filho,Desbravador,Chapecó/SC,89811-360
Rua Ulysses Bartolomei,Desbravador,Chapecó/SC,89811-362
Rua Gilberto Virgilio Peretti,Desbravador,Chapecó/SC,89811-380
Rua Luísa Talgatti,Desbravador,Chapecó/SC,89811-382
Rua Antonio Lazaretti,Desbravador,Chapecó/SC,89811-384
Rua Emer Fideli Sexto Meneghini,Desbravador,Chapecó/SC,89811-386
Rua Dileta Zanatta Meneghini,Desbravador,Chapecó/SC,89811-390
Rua José Pedro Coser,Desbravador,Chapecó/SC,89811-392
Rua Claúdio Luiz Tozzo,Desbravador,Chapecó/SC,89811-394
Avenida Antonio Sachett,Desbravador,Chapecó/SC,89811-396
Rua Sibila Pigatto Bartolomei,Desbravador,Chapecó/SC,89811-398
Rua Elsa Feuerschuette Bertaso,Desbravador,Chapecó/SC,89811-400
Rua Ariedson Claivor Denti,Desbravador,Chapecó/SC,89811-402
Rua Regina Matiello Tauffer,Desbravador,Chapecó/SC,89811-404
Rua Graciosa Meneghini Scussiato,Desbravador,Chapecó/SC,89811-406
Rua Sereno Silvano Soprana,Desbravador,Chapecó/SC,89811-408
Rua Nella Anna Sebben Soprana,Desbravador,Chapecó/SC,89811-410
Rua Olimpio Hermelindo Lucietto,Desbravador,Chapecó/SC,89811-412
Rua Jane Gomes Goulart,Desbravador,Chapecó/SC,89811-432
Rua Balduino Battisti,Desbravador,Chapecó/SC,89811-434
Rua Jacylina Mendes de Córdova,Desbravador,Chapecó/SC,89811-436
Rua Maria Margarida da Silva Cardoso,Desbravador,Chapecó/SC,89811-438
Avenida Emilia Petroli Sachet,Desbravador,Chapecó/SC,89811-440
Avenida Olivo Tauffer,Desbravador,Chapecó/SC,89811-442
Rua Norberto Pedro Werlang,Desbravador,Chapecó/SC,89811-444
Rua Ivan Bassani Bartolomei,Desbravador,Chapecó/SC,89811-446
Rua Mariângela Iop de Oliveira,Desbravador,Chapecó/SC,89811-448
Rua Ângelo Sachet,Desbravador,Chapecó/SC,89811-450
Rua Manoel Pedro Sachet,Desbravador,Chapecó/SC,89811-452
Rua Wilma Sartori da Silva,Desbravador,Chapecó/SC,89811-454
Rua Arita Gambetta Favero,Desbravador,Chapecó/SC,89811-456
Rua Luciano Godoy Arrussul,Desbravador,Chapecó/SC,89811-458
Rua Joaquim Manoel Domingues,Desbravador,Chapecó/SC,89811-460
Rua John Kennedy - E - de 2542 ao fim - lado par,Santa Paulina,Chapecó/SC,89811-510
Rua Hilário Rosina,Santa Paulina,Chapecó/SC,89811-700
Rua Pequim - de 1527 a 1619 - lado ímpar,Jardim Europa,Chapecó/SC,89811-750
Rua Pequim - de 1620/1621 ao fim,Jardim Europa,Chapecó/SC,89811-751
Rua Francisco Dias Velho - de 1400/1401 ao fim,Jardim Europa,Chapecó/SC,89811-756
Rua Douglas Spangnolo - de 116/117 ao fim,Jardim Europa,Chapecó/SC,89811-758
Rua Altair Balbinot,Jardim Europa,Chapecó/SC,89811-759
Rua Alzira Balbinot,Jardim Europa,Chapecó/SC,89811-760
Rua Nicolau Pessoa da Silva,Jardim Europa,Chapecó/SC,89811-761
Rua Nelson Trombetta,Jardim Europa,Chapecó/SC,89811-762
Rua José Eugênio Somensi,Jardim Europa,Chapecó/SC,89811-763
Rua Albina Pasqualon Vassoler,Jardim Europa,Chapecó/SC,89811-764
Rua Lauro Luz Mello,Jardim Europa,Chapecó/SC,89811-765
Rua Vilmar Venturin,Jardim Europa,Chapecó/SC,89811-767
Rua Reinaldo Kowalek,Jardim Europa,Chapecó/SC,89811-769
Rua Domingos Parisotto,Jardim Europa,Chapecó/SC,89811-771
Rua Guairacá - de 1521/1522 ao fim,Jardim Europa,Chapecó/SC,89811-773
Rua Odilon Serrano,Jardim Europa,Chapecó/SC,89811-775
Rua Rodolfo Dlugokenski,Jardim Europa,Chapecó/SC,89811-780
Rua Osvaldo dos Santos,Jardim Europa,Chapecó/SC,89811-783
Rua Alcides Luiz Zago,Jardim Europa,Chapecó/SC,89811-786
Rua Aurélio Capeletti,Jardim Europa,Chapecó/SC,89811-789
Rua Renato dos Anjos,Jardim Europa,Chapecó/SC,89811-792
Rua Orélio Decui,Jardim Europa,Chapecó/SC,89811-795
Avenida Getúlio Dorneles Vargas - S - de 493 a 1059 - lado ímpar,Centro,Chapecó/SC,89812-000
Rua Acácias - E - até 185 - lado ímpar,Centro,Chapecó/SC,89812-010
Avenida Getúlio Dorneles Vargas - S - de 1377 a 1787 - lado ímpar,Universitário,Chapecó/SC,89812-012
Rua Ipê - E - até 99998 - lado par,Universitário,Chapecó/SC,89812-030
Avenida Getúlio Dorneles Vargas - S - de 1789 a 2499 - lado ímpar,Universitário,Chapecó/SC,89812-045
Rua Lage de Pedra - E,Universitário,Chapecó/SC,89812-050
Rua Nilópolis - E,Universitário,Chapecó/SC,89812-060
Rua Diomedes Davi - E,Universitário,Chapecó/SC,89812-070
Avenida Nereu Ramos - D - de 491/492 a 1189/1190,Centro,Chapecó/SC,89812-110
Avenida Nereu Ramos - D - de 1285/1286 a 2799/2800,Universitário,Chapecó/SC,89812-111
Travessa Amuss Bruno Sudbrack,Centro,Chapecó/SC,89812-115
Rua Palmeiras - E - até 329/330,Centro,Chapecó/SC,89812-117
Rua Florianópolis - E - até 329/330,Centro,Chapecó/SC,89812-120
Rua Florianópolis - E - de 331/332 a 900/901,Santa Maria,Chapecó/SC,89812-121
Rua Florianópolis - E - de 902/903 a 1299/1300,Santa Maria,Chapecó/SC,89812-122
Rua Itapoã,Santa Maria,Chapecó/SC,89812-123
Rua Jaú,Santa Maria,Chapecó/SC,89812-125
Rua Teresópolis,Santa Maria,Chapecó/SC,89812-127
Rua Rui Barbosa - D - de 323 a 951 - lado ímpar,Santa Maria,Chapecó/SC,89812-128
Rua Rui Barbosa - D - de 953 a 1211 - lado ímpar,Santa Maria,Chapecó/SC,89812-130
Rua Rui Barbosa - D - de 1212/1213 ao fim,Universitário,Chapecó/SC,89812-131
Travessa Norberto Lara,Santa Maria,Chapecó/SC,89812-132
Rua São Lucas - até 149 - lado ímpar,Centro,Chapecó/SC,89812-134
Travessa São Miguel,Santa Maria,Chapecó/SC,89812-136
Rua São Lucas - de 151/152 ao fim,Santa Maria,Chapecó/SC,89812-138
Rua Achiles Tomazelli - E - até 309/310,Centro,Chapecó/SC,89812-140
Rua Achiles Tomazelli - E - de 311/312 a 1054/1055,Santa Maria,Chapecó/SC,89812-141
Rua Achiles Tomazelli - E - de 1056/1057 ao fim,Santa Maria,Chapecó/SC,89812-143
Rua Itapetininga - de 331/332 ao fim,Santa Maria,Chapecó/SC,89812-145
Rua Ponoe Scheffer - de 341/342 ao fim,Santa Maria,Chapecó/SC,89812-148
Rua Curitiba - D - de 311/312 a 879/880,Santa Maria,Chapecó/SC,89812-150
Rua Curitiba - D - de 881/882 a 1299/1300,Santa Maria,Chapecó/SC,89812-155
Rua Ponoe Scheffer - até 339/340,Centro,Chapecó/SC,89812-160
Rua Rui Barbosa - D - de 322 a 950 - lado par,Centro,Chapecó/SC,89812-165
Rua Itapetininga - até 329/330,Centro,Chapecó/SC,89812-170
Rua Fermino Pedro Vanzim,Universitário,Chapecó/SC,89812-180
Rua Curitiba - D - de 1301/1302 ao fim,Universitário,Chapecó/SC,89812-185
Rua Ary de Carvalho Porto - de 116/117 ao fim,Universitário,Chapecó/SC,89812-188
Rua São Gerônimo - de 492 ao fim - lado par,Universitário,Chapecó/SC,89812-190
Rua Condá - D - de 881/882 a 1384/1385,Santa Maria,Chapecó/SC,89812-198
Rua Condá - D - de 341/342 a 879/880,Santa Maria,Chapecó/SC,89812-200
Rua Condá - D - de 1386/1387 ao fim,Universitário,Chapecó/SC,89812-201
Rua Lídia Monteiro da Silva,Santa Maria,Chapecó/SC,89812-206
Rua São Marcos - de 301/302 a 829/830,Santa Maria,Chapecó/SC,89812-208
Rua São Marcos - até 299/300,Santa Maria,Chapecó/SC,89812-210
Rua Brás Cubas,Santa Maria,Chapecó/SC,89812-212
Rua Lauro Muller - E - de 334/335 a 889/890,Santa Maria,Chapecó/SC,89812-214
Rua Lauro Muller - E - de 891/892 a 1334/1335,Santa Maria,Chapecó/SC,89812-216
Rua Lauro Muller - E - de 1336/1337 a 1885/1886,Santa Maria,Chapecó/SC,89812-218
Rua Assis Brasil - D - de 331/332 ao fim,Santa Maria,Chapecó/SC,89812-220
Rua Uruguai - E - de 310 a 886 - lado par,Santa Maria,Chapecó/SC,89812-222
Rua Uruguai - E - de 888 a 1232 - lado par,Santa Maria,Chapecó/SC,89812-224
Rua Uruguai - E - de 1234 a 1890 - lado par,Santa Maria,Chapecó/SC,89812-226
Rua Borges de Medeiros - D - de 541/542 a 1163/1164,Santa Maria,Chapecó/SC,89812-228
Rua Borges de Medeiros - D - de 111/112 a 539/540,Santa Maria,Chapecó/SC,89812-230
Rua São José,Santa Maria,Chapecó/SC,89812-250
Servidão João Seliaz Vaz,Santa Maria,Chapecó/SC,89812-252
Rua Palmeiras - E - de 331/332 ao fim,Santa Maria,Chapecó/SC,89812-255
Rua Pinheiros - E - de 316/317 ao fim,Santa Maria,Chapecó/SC,89812-261
